序号,题目,出现次数，是否完成
3.,无重复字符的最长子串,106,ok，哈希表或者滑动窗口
25.,K个一组翻转链表,84,
206.,反转链表,83,ok
215.,数组中的第K个最大元素,81,排序
146.,LRU缓存机制,68,中等，双向链表和哈希表
103.,二叉树的锯齿形层次遍历,64,每遍历一层进行翻转，偶数翻转，对值进行翻转
15.,三数之和,62,先排序，使用双指针
121.,买卖股票的最佳时机,61,动态规划，获取前i-1天的最小值
160.,相交链表,58,双指针
1.,两数之和,48,哈希表
236.,二叉树的最近公共祖先,45,递归，深度优先
53.,最大子序和,39,动态规划，前缀和减去最小前缀和
42.,接雨水,38,前缀和最大，后缀和最大，两者求最小减h
21.,合并两个有序链表,36,迭代或者递归
415.,字符串相加,36,
88.,合并两个有序数组,35,倒序插入，双指针，最大的先插入
199.,二叉树的右视图,34,先递归右子树，再递归左子树，当深度第一次到达时，对应节点就在右边
102.,二叉树的层序遍历,33,嵌套函数，队列，递归
33.,搜索旋转排序数组,33,二分法，先判断在哪个部分，对左右部分依次二分法
200.,岛屿数量,33,对每一个格子依次遍历，使用递归插旗子
54.,螺旋矩阵,31,标记法
105.,从前序与中序遍历序列构造二叉树,30,使用递归，slices.Index()
141.,环形链表,28,快慢双指针
101.,对称二叉树,28,递归，左左对右右，左右对右左
300.,最长上升子序列,28,动态规划，f[i] 表示以 nums[i] 结尾的最长递增子序列（LIS）的长度。
20.,有效的括号,28,使用栈
31.,下一个排列,27,从右开始找，找左边相邻小的，然后从寻找的小的右边，找最小的比它大的，再反转它到末尾的区域
69.,x,的平方根,27,二分法
56.,合并区间,25,按照左端点排序，SortFunc
23.,合并K个排序链表,25,
143.,重排链表,25,先找中点，反转后面的，再交叉
46.,全排列,25,按照路径递归
232.,用栈实现队列,24,
112.,路径总和,24,相减再递归
124.,二叉树中的最大路径和,24,求左右节点和的最大值
5.,最长回文子串,24,奇偶分开判断
142.,环形链表II,23,快慢指针，相遇后，慢指针和头指针再走到相遇
94.,二叉树的中序遍历,23,内嵌函数，递归左根右
113.,路径总和II,23,递归加回溯
92.,反转链表II,23,从前往后将 m~n 的结点逐个搬到「n+1 结点开始的链」，成为它的新头结点
958.,二叉树的完全性检验,22,广度优先遍历
补充题1.,排序奇升偶降链表,22,
41.,缺失的第一个正数,21,
70.,爬楼梯,20,
155.,最小栈,20,
129.,求根到叶子节点数字之和,20,
2.,两数相加,19,
98.,验证二叉搜索树,19,
76.,最小覆盖子串,18,
122.,买卖股票的最佳时机,II,18,
19.,删除链表的倒数第N个节点,18,
169.,多数元素,18,
剑指,Offer,22.,链表中倒数第k个节点,18,
39.,组合总和,18,
470.,用,Rand7(),实现,Rand10(),18,
165.,比较版本号,18,
543.,二叉树的直径,17,
162.,寻找峰值,17,
32.,最长有效括号,17,
240.,搜索二维矩阵,II,17,
93.,复原IP地址,17,
209.,长度最小的子数组,17,
226.,翻转二叉树,16,
48.,旋转图像,16,
718.,最长重复子数组,16,
补充题4.,手撕快速排序,16,
518.,零钱兑换,II,15,
64.,最小路径和,15,
234.,回文链表,15,
110.,平衡二叉树,15,
83.,删除排序链表中的重复元素,15,
322.,零钱兑换,15,
62.,不同路径,14,
104.,二叉树的最大深度,14,
148.,排序链表,14,
82.,删除排序链表中的重复元素,II,14,
198.,打家劫舍,14,
151.,翻转字符串里的单词,13,
230.,二叉搜索树中第K小的元素,13,
1143.,最长公共子序列,13,
4.,寻找两个正序数组的中位数,13,
239.,滑动窗口最大值,13,
补充题2.,圆环回原点问题,13,
78.,子集,12,
72.,编辑距离,12,
剑指,Offer,09.,用两个栈实现队列,11,
695.,岛屿的最大面积,11,
144.,二叉树的前序遍历,11,
394.,字符串解码,11,
8.,字符串转换整数,(atoi),11,
24.,两两交换链表中的节点,11,
补充题9.,36进制加法,11,
128.,最长连续序列,10,
704.,二分查找,10,
739.,每日温度,10,
224.,基本计算器,10,
79.,单词搜索,10,
221.,最大正方形,9,
22.,括号生成,9,
剑指Offer36.,二叉搜索树与双向链表,9,
